mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,split5_train_roc_auc,split6_train_roc_auc,split7_train_roc_auc,split8_train_roc_auc,split9_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,split5_train_recall,split6_train_recall,split7_train_recall,split8_train_recall,split9_train_recall,mean_train_recall,std_train_recall
0.027196216583251952,0.0024659357476921762,0.3829479217529297,0.015203676972737069,1,2,"{'n_neighbors': 1, 'p': 2}",0.4976076555023924,0.5073891625615764,0.5376884422110553,0.5353535353535354,0.567237163814181,0.536231884057971,0.508557457212714,0.48920863309352514,0.5601851851851851,0.47901234567901235,0.5218471464671148,0.02836131789918418,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6771510359229451,0.6818907060231352,0.6987376522208405,0.6970834604284474,0.7181010816771861,0.6996474488274604,0.6823853039365291,0.6714170452352973,0.7173568601313153,0.6644829541800408,0.6908253548583196,0.017424516309107425,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.79,0.8,0.816,0.816,0.823,0.808,0.799,0.787,0.81,0.789,0.8038000000000001,0.012048236385463198,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.47706422018348627,0.4724770642201835,0.4908256880733945,0.48623853211009177,0.5321100917431193,0.5068493150684932,0.4748858447488584,0.4657534246575342,0.5525114155251142,0.4429223744292237,0.4901637970759499,0.03080003739362309,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02897219657897949,0.003700948129771293,0.836476492881775,0.031533309628962204,1,1,"{'n_neighbors': 1, 'p': 1}",0.5230024213075061,0.5304136253041363,0.5278450363196125,0.5398457583547558,0.5693430656934306,0.5036674816625917,0.4987277353689567,0.43672456575682383,0.5673758865248226,0.4963144963144963,0.5193260072607132,0.03669140004160043,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6920798235528756,0.6962915601023018,0.6950127877237853,0.6986261995823458,0.7197552734695793,0.679461994048141,0.6750887224551125,0.6394535749156625,0.7201953940329399,0.674895784002479,0.6890861113885223,0.02246933276225761,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.803,0.807,0.805,0.821,0.823,0.797,0.803,0.773,0.817,0.795,0.8044,0.01385784976105598,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4954128440366973,0.5,0.5,0.481651376146789,0.536697247706422,0.4703196347031963,0.4474885844748858,0.4018264840182648,0.547945205479452,0.4611872146118721,0.48425285911775795,0.04038101614568864,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.026275086402893066,0.0018563305754386917,5.916359114646911,0.23018362733591877,1,3,"{'n_neighbors': 1, 'p': 3}",0.5035971223021583,0.4963144963144963,0.5306122448979593,0.5316455696202532,0.565110565110565,0.5330188679245284,0.4951456310679611,0.4975609756097561,0.5404157043879908,0.4873096446700508,0.5180730821905719,0.024191589834487413,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6807233862831132,0.6753853914920576,0.6937750768436612,0.6947898824467961,0.7164468898847932,0.6990920199486668,0.6746180695630821,0.6758984792941961,0.705023415712206,0.6686018978127796,0.6884354509281352,0.01487783473266157,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.793,0.795,0.816,0.815,0.823,0.802,0.792,0.794,0.801,0.798,0.8029,0.010530432089900165,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.481651376146789,0.463302752293578,0.47706422018348627,0.481651376146789,0.5275229357798165,0.5159817351598174,0.4657534246575342,0.4657534246575342,0.5342465753424658,0.4383561643835616,0.48512839847513717,0.029437749150902828,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.024080467224121094,0.001177070341249217,4.235632610321045,0.1509474206056931,1,5,"{'n_neighbors': 1, 'p': 5}",0.48226950354609927,0.4961636828644502,0.5333333333333333,0.5166240409207161,0.5477386934673366,0.5384615384615385,0.49532710280373826,0.498812351543943,0.47795823665893267,0.504950495049505,0.5091638978649593,0.022734672737461024,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6680881766348342,0.6738837138365517,0.697194913066942,0.6856155705201905,0.7046035805626599,0.7012903489847345,0.6760680312677225,0.6776261554382333,0.6653774870058876,0.679739708487538,0.6829487685805294,0.013088713034490504,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.781,0.803,0.811,0.811,0.82,0.808,0.784,0.789,0.775,0.8,0.7982,0.014302447343024896,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46788990825688076,0.44495412844036697,0.4954128440366973,0.463302752293578,0.5,0.5114155251141552,0.4840182648401826,0.4794520547945205,0.4703196347031963,0.4657534246575342,0.4782518537137112,0.018869863324963074,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02493140697479248,0.002331963569845592,4.81420476436615,0.19598338823593212,1,4,"{'n_neighbors': 1, 'p': 4}",0.4941176470588235,0.4924623115577889,0.5268542199488491,0.5151515151515151,0.5495049504950494,0.5238095238095236,0.4834123222748815,0.5011933174224343,0.5011600928074246,0.49624060150375937,0.5083906502030049,0.019099198292191002,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6756082967690468,0.6723409746826533,0.6914814988620098,0.6853516037448086,0.7066331917689292,0.6928829097457305,0.6682160209075123,0.6789065651693474,0.6799940364478277,0.6741708031501588,0.6825585901248025,0.011055686194666358,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.785,0.798,0.815,0.808,0.818,0.8,0.782,0.791,0.785,0.799,0.7981,0.011987076374162277,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.481651376146789,0.44954128440366975,0.4724770642201835,0.46788990825688076,0.5091743119266054,0.502283105022831,0.4657534246575342,0.4794520547945205,0.4931506849315068,0.4520547945205479,0.4773428008881068,0.01888893759524495,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.027403593063354492,0.00238412144335696,10.576307106018067,0.2753688801450178,10,3,"{'n_neighbors': 10, 'p': 3}",0.3961661341853035,0.42244224422442245,0.4345047923322684,0.4147157190635452,0.47096774193548385,0.429042904290429,0.4336569579288026,0.3576158940397351,0.4161073825503356,0.3986928104575163,0.41739125810078426,0.028233309774665802,6,0.4877344877344878,0.48732802317161483,0.48607594936708864,0.4869942196531792,0.4779145546705286,0.48923959827833563,0.493376297887576,0.4969391429600287,0.4927020291918832,0.4902947519769949,0.4888599054891718,0.004871158716778197,0.7997753349445083,0.8362027499472067,0.8054007602243132,0.8258699171730918,0.8508969004434641,0.8022000830220009,0.8373791942188623,0.7930735095504533,0.7974877074819193,0.8009225966007752,0.8149208753606596,0.019571569321405413,13,0.9005771758976908,0.8988172975812841,0.8999037582358307,0.898095412063877,0.8979432858863989,0.9003073575781171,0.899063001940003,0.9025739244726457,0.8997947333848006,0.8988328308570116,0.8995908777897659,0.0013010317926758607,0.811,0.825,0.823,0.825,0.836,0.827,0.825,0.806,0.826,0.816,0.8219999999999998,0.008234075540095531,2,0.8422222222222222,0.8426666666666667,0.8421111111111111,0.8422222222222222,0.8397777777777777,0.8417777777777777,0.8427777777777777,0.8447777777777777,0.8416666666666667,0.8424444444444444,0.8422444444444445,0.0011651312647927405,0.28440366972477066,0.29357798165137616,0.3119266055045872,0.28440366972477066,0.3348623853211009,0.2968036529680365,0.3059360730593607,0.2465753424657534,0.2831050228310502,0.2785388127853881,0.2920133216036195,0.02212049571644196,6,0.3436705643111337,0.3421453990849009,0.3416370106761566,0.34265378749364517,0.3355363497712252,0.34689725330620547,0.3504577822990844,0.35096642929806715,0.35198372329603256,0.34689725330620547,0.3452845552842657,0.004866607771246078
0.025572872161865233,0.001202230540716364,0.5867980003356934,0.025662501963490295,10,2,"{'n_neighbors': 10, 'p': 2}",0.4077669902912621,0.40268456375838924,0.4571428571428572,0.4161073825503356,0.46601941747572817,0.423841059602649,0.404040404040404,0.3469387755102041,0.4097222222222222,0.38,0.4114263672594052,0.03246531664604127,7,0.4942028985507247,0.482532751091703,0.4846715328467153,0.4846070264396958,0.482532751091703,0.4842105263157894,0.4867801521187976,0.500540151242348,0.4921090387374462,0.4918743228602384,0.48840611512951615,0.005693833064615524,0.802872545108989,0.8460076491705577,0.8088528590534738,0.8227639081160985,0.8532491377085338,0.8143347423686995,0.8347365220797596,0.8023491718263086,0.8037991335309491,0.8055735826332006,0.819453925159657,0.01798769079528946,10,0.9037510072169757,0.901844135038891,0.9024530734656309,0.9018429061745445,0.8997078989448465,0.9037664681154838,0.9022492046334458,0.9044544865789216,0.9036286764099732,0.9028596678073743,0.9026557524386087,0.0012989426985351227,0.817,0.822,0.829,0.826,0.835,0.826,0.823,0.808,0.83,0.814,0.8229999999999998,0.007681145747868594,1,0.8448888888888889,0.842,0.8431111111111111,0.8418888888888889,0.842,0.8421111111111111,0.8425555555555555,0.8458888888888889,0.8426666666666667,0.8436666666666667,0.8430777777777779,0.0012900856512861267,0.2889908256880734,0.27522935779816515,0.3302752293577982,0.28440366972477066,0.3302752293577982,0.2922374429223744,0.273972602739726,0.2328767123287671,0.2694063926940639,0.2602739726027397,0.28379414352142773,0.028182011717671547,7,0.3467208947635994,0.33706151499745807,0.33756990340620235,0.34011184544992373,0.33706151499745807,0.3392675483214649,0.34181078331637843,0.3535096642929807,0.34893184130213634,0.3463886063072228,0.3428434117154825,0.005426106543836635
0.026835417747497557,0.004194572537904834,8.664973759651184,0.30936196331267973,10,4,"{'n_neighbors': 10, 'p': 4}",0.379746835443038,0.4,0.45425867507886436,0.40540540540540543,0.4495114006514658,0.429042904290429,0.3881578947368421,0.35690235690235694,0.4228187919463087,0.36544850498338877,0.40512927694381,0.03182347017425865,8,0.48357993504150126,0.48724398131512753,0.4860014357501794,0.4774936982355059,0.47178002894356,0.4760532949225783,0.4794520547945205,0.48755860079336455,0.48117604876299747,0.4857862540482188,0.4816125332607554,0.005069795521173331,0.7905482296628263,0.833686266688566,0.8055620732537132,0.827843802060114,0.8364813815434431,0.7981366822771414,0.8319710709253445,0.7915972380568175,0.7969088921240185,0.8005776460339455,0.8113313282625929,0.017841894673770613,14,0.8980428961846003,0.8961214583497031,0.8956416229654796,0.8952202309238508,0.8944094334566703,0.8987544439723233,0.8961903829416255,0.9004080167510747,0.8972755061811385,0.8961445367378502,0.8968208528464316,0.001715173013493513,0.804,0.823,0.827,0.824,0.831,0.827,0.814,0.809,0.828,0.809,0.8196,0.009167333309092635,10,0.841,0.8414444444444444,0.8408888888888889,0.8387777777777777,0.8377777777777777,0.8383333333333334,0.8395555555555556,0.8421111111111111,0.8392222222222222,0.8412222222222222,0.8400333333333334,0.0014081333410486596,0.27522935779816515,0.2706422018348624,0.3302752293577982,0.27522935779816515,0.3165137614678899,0.2968036529680365,0.2694063926940639,0.2420091324200913,0.2876712328767123,0.2511415525114155,0.28149218717271995,0.02588672395661734,8,0.340620233858668,0.34468734112862226,0.344178952719878,0.33706151499745807,0.33146924250127097,0.33621566632756866,0.3382502543234995,0.34384537131230924,0.34130213631739575,0.34333672431332657,0.3400967437799997,0.00407594635258578
0.025202322006225585,0.0021565955799639582,7.963904619216919,0.3284254947861862,10,5,"{'n_neighbors': 10, 'p': 5}",0.3900928792569659,0.37966101694915255,0.4299674267100978,0.4,0.43708609271523174,0.3959731543624161,0.4117647058823529,0.3630363036303631,0.4172185430463576,0.36363636363636365,0.3988436486189301,0.024313801920149168,9,0.48077614085519227,0.48604151753758057,0.4786201940352138,0.47824523552678905,0.4693951466859833,0.4737793851717903,0.48161499639509736,0.4926496952312656,0.48275862068965514,0.48775216138328525,0.48116330935118523,0.006403440207029902,0.7952204415870856,0.828626903493747,0.8049872122762147,0.8262277388019428,0.8295537201717544,0.795134443021767,0.8298721344254819,0.7852711954583458,0.7982506913627887,0.7990604482018722,0.8092204928801001,0.016478035134817135,15,0.8962005755277738,0.8941673110373487,0.8941518418038109,0.8928836899413333,0.8922557402602923,0.896387470999022,0.8940437826907297,0.8976108559761032,0.8952521627982788,0.8959821948964064,0.8948935625931099,0.0015948308541881456,0.803,0.817,0.825,0.823,0.83,0.82,0.82,0.807,0.824,0.811,0.818,0.008111719916269262,15,0.8394444444444444,0.8404444444444444,0.8387777777777777,0.8387777777777777,0.8372222222222222,0.8383333333333334,0.8402222222222222,0.8427777777777777,0.84,0.842,0.8398,0.0015922652549042466,0.2889908256880734,0.25688073394495414,0.30275229357798167,0.2706422018348624,0.30275229357798167,0.2694063926940639,0.2876712328767123,0.2511415525114155,0.2876712328767123,0.2465753424657534,0.27644841020485106,0.01947315456608657,9,0.34011184544992373,0.34519572953736655,0.3385866802236909,0.33807829181494664,0.3294356888662939,0.33316378433367244,0.3397761953204476,0.349440488301119,0.34181078331637843,0.344354018311292,0.3399953505475132,0.0054995105939805175
0.02628469467163086,0.003733670240907744,11.811997485160827,0.49212954840243045,20,3,"{'n_neighbors': 20, 'p': 3}",0.41009463722397477,0.37800687285223367,0.45098039215686275,0.38461538461538464,0.430976430976431,0.41471571906354515,0.4172185430463576,0.32638888888888895,0.3904109589041096,0.37966101694915255,0.398306884467694,0.03284723614444889,10,0.44147157190635455,0.44911504424778764,0.4340393905611297,0.4358120606733259,0.43922445935868754,0.44238606891441273,0.44845360824742275,0.4522760646108664,0.45928099779897286,0.4521100917431193,0.4454169358062079,0.007692571494292734,0.8139650156033694,0.845740749431005,0.8221215889626692,0.8366661582862103,0.8561029118468289,0.8153900572384076,0.853770192763054,0.8051292395301657,0.8123030419962698,0.8148784780079397,0.8276067433665919,0.017816717277740573,7,0.8780137446308568,0.8763311040529319,0.8780454782454505,0.8757956444854965,0.8727399648588169,0.8781927831422496,0.873892387534345,0.8778299183937572,0.878121772145235,0.8779399420515555,0.8766902739540694,0.001873974634513269,0.813,0.819,0.832,0.824,0.831,0.825,0.824,0.806,0.822,0.817,0.8212999999999999,0.0075106590922501435,6,0.833,0.834,0.8307777777777777,0.8305555555555556,0.8328888888888889,0.8327777777777777,0.8335555555555556,0.8342222222222222,0.8362222222222222,0.8341111111111111,0.8332111111111111,0.001579537359990237,0.2981651376146789,0.25229357798165136,0.3165137614678899,0.25229357798165136,0.29357798165137616,0.2831050228310502,0.2876712328767123,0.2146118721461187,0.2602739726027397,0.2557077625570776,0.27142138997109466,0.0282316842047778,10,0.3019827147941027,0.3096085409252669,0.2968988307066599,0.2994407727503813,0.2994407727503813,0.30366225839267547,0.30976602238046796,0.3133265513733469,0.31841302136317395,0.3133265513733469,0.30658660368098034,0.006896992719930673
